Date,Open,High,Low,Close,Adj Close,Volume
2000-10-02,2.312500,2.312500,2.062500,2.250000,2.107146,24200
2000-10-03,2.000000,2.250000,2.000000,2.125000,1.990082,62400
2000-10-04,2.125000,2.250000,2.062500,2.125000,1.990082,37400
2000-10-05,2.062500,2.062500,1.937500,2.000000,1.873019,24000
2000-10-06,2.062500,2.062500,2.000000,2.000000,1.873019,14000
2000-10-09,1.937500,2.062500,1.937500,2.062500,1.931551,8800
2000-10-10,2.000000,2.062500,2.000000,2.062500,1.931551,2900
2000-10-11,1.937500,2.062500,1.937500,2.000000,1.873019,3800
2000-10-12,2.125000,2.187500,2.125000,2.125000,1.990082,5200
2000-10-13,2.062500,2.062500,2.000000,2.000000,1.873019,11000
2000-10-16,2.000000,2.000000,2.000000,2.000000,1.873019,3300
2000-10-17,2.062500,2.062500,2.000000,2.000000,1.873019,1300
2000-10-18,2.000000,2.062500,2.000000,2.000000,1.873019,4100
2000-10-19,2.000000,2.000000,2.000000,2.000000,1.873019,1100
2000-10-20,2.000000,2.000000,1.937500,1.937500,1.814487,14800
2000-10-23,1.937500,2.000000,1.937500,2.000000,1.873019,9700
2000-10-24,2.000000,2.000000,1.937500,1.937500,1.814487,10100
2000-10-25,1.937500,1.937500,1.937500,1.937500,1.814487,2900
2000-10-26,2.125000,2.125000,1.875000,1.937500,1.814487,8500
2000-10-27,1.937500,2.000000,1.937500,2.000000,1.873019,7800
2000-10-30,2.000000,2.062500,1.937500,2.000000,1.873019,24700
2000-10-31,2.000000,2.000000,2.000000,2.000000,1.873019,30600
2000-11-01,2.000000,2.000000,1.812500,1.875000,1.755955,37400
2000-11-02,2.000000,2.000000,1.875000,1.937500,1.814487,23800
2000-11-03,2.000000,2.000000,1.937500,1.937500,1.814487,41700
2000-11-06,2.000000,2.000000,1.937500,1.937500,1.814487,6900
2000-11-07,2.000000,2.000000,1.937500,2.000000,1.873019,16600
2000-11-08,2.000000,2.250000,1.937500,1.937500,1.814487,10700
2000-11-09,1.937500,1.937500,1.500000,1.875000,1.755955,1379700
2000-11-10,1.750000,1.937500,1.750000,1.937500,1.814487,22300
2000-11-13,1.937500,1.937500,1.875000,1.937500,1.814487,4700
2000-11-14,2.000000,2.000000,1.625000,1.750000,1.638892,9800
2000-11-15,1.625000,1.812500,1.500000,1.750000,1.638892,29200
2000-11-16,1.625000,1.625000,1.437500,1.437500,1.346232,49300
2000-11-17,1.500000,1.875000,1.500000,1.750000,1.638892,69300
2000-11-20,1.750000,1.750000,1.625000,1.687500,1.580360,9700
2000-11-21,1.687500,1.812500,1.625000,1.750000,1.638892,14100
2000-11-22,1.750000,1.750000,1.625000,1.687500,1.580360,24900
2000-11-24,1.750000,1.750000,1.687500,1.687500,1.580360,2300
2000-11-27,1.750000,1.750000,1.625000,1.750000,1.638892,32700
2000-11-28,1.687500,1.750000,1.500000,1.562500,1.463296,287000
2000-11-29,1.562500,1.625000,1.437500,1.500000,1.404764,57000
2000-11-30,1.500000,1.500000,1.437500,1.500000,1.404764,41000
2000-12-01,1.500000,1.562500,1.437500,1.437500,1.346232,46400
2000-12-04,1.437500,1.562500,1.437500,1.500000,1.404764,20600
2000-12-05,1.500000,1.562500,1.437500,1.437500,1.346232,31100
2000-12-06,1.437500,1.562500,1.437500,1.500000,1.404764,17400
2000-12-07,1.500000,1.562500,1.500000,1.500000,1.404764,52200
2000-12-08,1.437500,1.500000,1.437500,1.500000,1.404764,37200
2000-12-11,1.500000,1.500000,1.437500,1.500000,1.404764,34200
2000-12-12,1.500000,1.500000,1.437500,1.437500,1.346232,24200
2000-12-13,1.437500,1.500000,1.437500,1.437500,1.346232,35800
2000-12-14,1.437500,1.562500,1.437500,1.437500,1.346232,48200
2000-12-15,1.437500,1.500000,1.437500,1.500000,1.404764,33500
2000-12-18,1.500000,1.500000,1.437500,1.437500,1.346232,16700
2000-12-19,1.375000,1.437500,1.312500,1.312500,1.229168,72300
2000-12-20,1.375000,1.437500,1.312500,1.437500,1.346232,30800
2000-12-21,1.375000,1.375000,1.062500,1.187500,1.112105,153600
2000-12-22,1.187500,1.312500,1.125000,1.187500,1.112105,87300
2000-12-26,1.187500,1.437500,1.187500,1.437500,1.346232,51000
2000-12-27,1.375000,1.375000,1.125000,1.375000,1.287701,145500
2000-12-28,1.312500,1.437500,1.187500,1.437500,1.346232,159600
2000-12-29,1.312500,1.625000,1.312500,1.562500,1.463296,140800
2001-01-02,1.437500,1.562500,1.312500,1.437500,1.346232,26600
2001-01-03,1.437500,1.437500,1.437500,1.437500,1.346232,18300
2001-01-04,1.312500,1.562500,1.312500,1.500000,1.404764,17700
2001-01-05,1.500000,1.687500,1.500000,1.687500,1.580360,13000
2001-01-08,1.687500,2.000000,1.687500,2.000000,1.873019,60200
2001-01-09,2.062500,2.250000,2.062500,2.250000,2.107146,11200
2001-01-10,2.312500,2.500000,2.312500,2.500000,2.341273,21500
2001-01-11,2.562500,2.562500,2.437500,2.562500,2.399805,17800
2001-01-12,2.500000,2.500000,2.312500,2.375000,2.224210,35400
2001-01-16,2.437500,2.500000,2.375000,2.375000,2.224210,5300
2001-01-17,2.312500,2.375000,2.312500,2.375000,2.224210,2600
2001-01-18,2.250000,2.500000,2.250000,2.375000,2.224210,307000
2001-01-19,2.312500,2.375000,2.312500,2.375000,2.224210,246800
2001-01-22,2.375000,2.500000,2.375000,2.375000,2.224210,25200
2001-01-23,2.437500,2.500000,2.375000,2.437500,2.282742,7600
2001-01-24,2.500000,2.500000,2.437500,2.500000,2.341273,9300
2001-01-25,2.500000,2.625000,2.437500,2.500000,2.341273,16400
2001-01-26,2.500000,2.500000,2.312500,2.375000,2.224210,21200
2001-01-29,2.370000,2.370000,2.250000,2.250000,2.107146,31500
2001-01-30,2.250000,2.290000,2.220000,2.250000,2.107146,7800
2001-01-31,2.200000,2.250000,2.150000,2.150000,2.013496,19000
2001-02-01,2.150000,2.180000,2.140000,2.140000,2.004130,5000
2001-02-02,2.190000,2.220000,2.140000,2.220000,2.079051,1000
2001-02-05,2.150000,2.200000,2.100000,2.200000,2.060321,25200
2001-02-06,2.300000,2.300000,2.250000,2.250000,2.107146,9000
2001-02-07,2.270000,2.350000,2.260000,2.300000,2.153971,3400
2001-02-08,2.350000,2.350000,2.320000,2.320000,2.172701,8000
2001-02-09,2.490000,2.560000,2.450000,2.560000,2.397464,38300
2001-02-12,2.600000,2.750000,2.550000,2.640000,2.472385,24300
2001-02-13,2.650000,2.650000,2.450000,2.460000,2.303813,18400
2001-02-14,2.500000,2.500000,2.450000,2.500000,2.341273,15100
2001-02-15,2.500000,2.630000,2.500000,2.550000,2.388099,12300
2001-02-16,2.550000,2.550000,2.470000,2.550000,2.388099,4500
2001-02-20,2.550000,2.600000,2.500000,2.500000,2.341273,12200
2001-02-21,2.470000,2.600000,2.470000,2.500000,2.341273,47400
2001-02-22,2.500000,2.600000,2.450000,2.500000,2.341273,16900
2001-02-23,2.450000,2.600000,2.450000,2.600000,2.434924,15000
2001-02-26,2.600000,2.680000,2.600000,2.600000,2.434924,56200
2001-02-27,2.600000,2.650000,2.550000,2.590000,2.425559,45400
2001-02-28,2.590000,2.700000,2.590000,2.600000,2.434924,74400
2001-03-01,2.700000,2.750000,2.620000,2.620000,2.453655,43600
2001-03-02,2.670000,2.670000,2.520000,2.580000,2.416195,53400
2001-03-05,2.660000,2.660000,2.510000,2.520000,2.360004,9800
2001-03-06,2.600000,2.600000,2.270000,2.520000,2.360004,35900
2001-03-07,2.500000,2.650000,2.500000,2.650000,2.481751,5400
2001-03-08,2.650000,3.250000,2.650000,3.250000,3.043656,231500
2001-03-09,3.250000,3.500000,3.250000,3.270000,3.062386,69900
2001-03-12,3.370000,3.540000,3.250000,3.250000,3.043656,22600
2001-03-13,3.250000,3.450000,3.200000,3.300000,3.090481,29200
2001-03-14,3.380000,3.380000,3.250000,3.320000,3.109211,4800
2001-03-15,3.300000,3.400000,3.030000,3.030000,2.837624,26600
2001-03-16,3.030000,3.250000,2.970000,3.230000,3.024926,18900
2001-03-19,3.300000,3.320000,3.250000,3.280000,3.071751,4700
2001-03-20,3.300000,3.300000,3.240000,3.240000,3.034290,16300
2001-03-21,3.190000,3.190000,3.090000,3.100000,2.903180,10700
2001-03-22,3.100000,3.200000,3.000000,3.000000,2.809528,9500
2001-03-23,3.010000,3.090000,2.970000,3.090000,2.893814,8500
2001-03-26,3.050000,3.050000,2.960000,2.960000,2.772068,13300
2001-03-27,3.030000,3.030000,2.960000,2.970000,2.781433,19800
2001-03-28,2.910000,2.910000,2.830000,2.910000,2.725243,22500
2001-03-29,2.860000,2.950000,2.860000,2.880000,2.697146,131500
2001-03-30,2.960000,3.140000,2.950000,3.000000,2.809528,188300
2001-04-02,3.050000,3.090000,2.900000,3.050000,2.856354,48800
2001-04-03,3.080000,3.080000,2.950000,3.000000,2.809528,15900
2001-04-04,2.970000,3.050000,2.910000,3.030000,2.837624,5500
2001-04-05,3.000000,3.000000,2.930000,2.980000,2.790799,4200
2001-04-06,2.920000,3.010000,2.920000,3.000000,2.809528,11000
2001-04-09,3.060000,3.240000,2.920000,3.070000,2.875084,18600
2001-04-10,3.020000,3.020000,3.000000,3.000000,2.809528,4700
2001-04-11,3.000000,3.020000,3.000000,3.000000,2.809528,9300
2001-04-12,3.000000,3.000000,3.000000,3.000000,2.809528,400
2001-04-16,3.000000,3.120000,3.000000,3.120000,2.921910,8200
2001-04-17,3.120000,3.120000,2.950000,2.950000,2.762703,11600
2001-04-18,3.000000,3.030000,2.950000,3.000000,2.809528,34000
2001-04-19,2.950000,3.000000,2.850000,2.950000,2.762703,26200
2001-04-20,3.000000,3.150000,2.990000,3.010000,2.818894,101000
2001-04-23,3.050000,3.120000,2.940000,2.940000,2.753338,40800
2001-04-24,2.940000,2.990000,2.940000,2.980000,2.790799,9400
2001-04-25,3.030000,3.050000,2.960000,2.990000,2.800163,62800
